promedio_kardex,horas_estudio,asistencias,unidades_aprobadas,nivel_estres,motivacion,beca,trabaja,perfil_rendimiento,edad,horas_ocio,integrantes_familia,ingresos_familiares,actividades_extracurriculares,participacion_clase,apoyo_gubernamental,habilidades_blandas,sociabilidad,semestre,materias_cursando,carrera
100.0,4,99,10,2,9,Sí,No,Alto Rendimiento,22,3,2,42481,2,86,No,83.8,84.6,7,6,Ing. Gestión Empresarial
86.6,2,80,8,5,5,No,Sí,Rendimiento Promedio,19,5,3,15043,1,79,No,83.2,86.9,9,7,Ing. Industrial
85.0,3,81,8,7,8,No,No,Rendimiento Promedio,23,5,1,21782,0,78,Sí,81.9,82.6,12,5,Ing. Electrónica
76.7,2,73,5,8,2,No,No,Bajo Rendimiento,21,1,5,7388,1,92,No,80.8,82.7,8,7,Ing. Química
96.7,4,97,9,1,8,No,No,Alto Rendimiento,19,1,6,27103,3,80,No,87.1,84.4,5,5,Ing. Civil
76.1,1,80,2,9,2,No,No,Bajo Rendimiento,23,1,2,9102,2,81,Sí,76.9,90.7,2,6,Ing. Civil
95.4,3,100,8,3,10,Sí,Sí,Alto Rendimiento,22,5,2,42432,1,83,Sí,87.1,89.7,12,6,Ing. Química
83.6,2,82,8,4,7,No,Sí,Rendimiento Promedio,18,5,1,5536,0,84,Sí,94.0,81.6,12,5,Ing. Química
90.0,3,80,7,5,8,No,No,Rendimiento Promedio,24,3,3,10575,3,92,No,90.3,87.0,5,5,Ing. Bioquímica
74.1,1,83,2,7,2,No,No,Bajo Rendimiento,22,4,6,9578,0,85,Sí,79.5,86.2,6,6,Ing. Gestión Empresarial
87.8,3,80,5,6,7,No,Sí,Rendimiento Promedio,20,1,1,14301,2,85,No,95.3,84.2,7,6,Ing. Mecánica
80.0,4,89,6,7,5,No,Sí,Rendimiento Promedio,25,4,3,30377,2,84,Sí,88.9,78.6,12,7,Ing. Química
77.4,2,85,2,10,4,No,No,Bajo Rendimiento,22,1,1,27427,2,85,No,79.5,86.4,9,4,Ing. Civil
94.4,4,100,10,1,10,No,Sí,Alto Rendimiento,18,1,3,31368,2,89,No,77.7,87.3,6,5,Ing. Electrónica
79.8,2,70,4,8,2,No,No,Bajo Rendimiento,18,3,1,44674,2,82,Sí,81.8,83.8,5,6,Ing. Sistemas
91.2,3,99,8,2,8,Sí,No,Alto Rendimiento,25,3,3,30963,3,82,Sí,85.3,83.6,7,6,Ing. Sistemas
87.0,2,92,6,6,7,No,Sí,Rendimiento Promedio,22,2,2,42924,0,89,No,87.6,94.6,3,5,Ing. Electrónica
83.1,4,91,6,6,8,No,Sí,Rendimiento Promedio,23,1,6,46245,0,82,No,82.5,83.2,9,6,Ing. Gestión Empresarial
84.6,4,89,8,5,8,No,No,Rendimiento Promedio,18,1,3,21890,0,81,No,82.9,90.2,5,7,Ing. Sistemas
84.6,4,81,6,7,5,No,Sí,Rendimiento Promedio,20,1,3,22009,1,91,Sí,86.8,83.7,11,5,Arquitectura
79.9,2,80,4,7,2,No,No,Bajo Rendimiento,19,3,4,13088,1,83,Sí,81.6,85.4,9,7,Ing. Mecánica
82.0,4,83,5,6,8,No,No,Rendimiento Promedio,22,1,3,24186,2,84,Sí,85.7,83.9,3,5,Ing. Electrónica
89.4,4,85,7,4,5,No,Sí,Rendimiento Promedio,18,2,3,6211,3,83,Sí,88.9,84.9,8,6,Ing. Mecánica
70.0,2,70,3,7,1,Sí,No,Bajo Rendimiento,25,5,1,11043,3,82,No,84.7,79.4,7,5,Ing. Civil
81.4,2,89,8,7,6,Sí,Sí,Rendimiento Promedio,24,2,5,5535,0,83,No,91.9,89.0,4,7,Ing. Civil
88.3,4,85,6,7,6,Sí,Sí,Rendimiento Promedio,23,5,3,28800,2,83,Sí,84.5,82.5,10,6,Ing. Civil
83.3,2,84,8,4,5,No,Sí,Rendimiento Promedio,23,3,5,29802,3,89,No,80.2,78.7,6,7,Arquitectura
95.2,4,97,10,2,8,Sí,Sí,Alto Rendimiento,25,4,5,47695,0,80,No,94.7,90.1,4,6,Ing. Gestión Empresarial
85.2,2,82,8,4,6,No,Sí,Rendimiento Promedio,23,3,2,46617,0,94,Sí,88.6,93.2,3,6,Ing. Bioquímica
92.0,3,98,10,4,10,Sí,No,Alto Rendimiento,19,4,2,31387,0,81,No,85.5,85.1,6,5,Ing. Mecánica
76.0,1,83,4,9,2,No,No,Bajo Rendimiento,20,5,2,23755,0,89,No,85.3,86.6,7,7,Ing. Sistemas
77.0,2,85,5,8,1,No,No,Bajo Rendimiento,22,4,4,35727,0,77,Sí,81.0,89.8,8,6,Ing. Civil
82.7,4,85,5,7,8,No,Sí,Rendimiento Promedio,18,5,3,28385,3,81,Sí,85.4,80.8,2,7,Ing. Mecánica
85.2,4,88,7,6,7,No,Sí,Rendimiento Promedio,19,4,2,46015,0,83,No,81.8,86.2,8,6,Ing. Mecánica
84.5,2,95,7,7,6,No,Sí,Rendimiento Promedio,20,5,5,27076,3,80,No,91.2,91.8,1,6,Ing. Industrial
80.0,1,79,3,7,2,Sí,No,Bajo Rendimiento,21,4,2,48558,3,87,No,87.2,85.5,10,7,Arquitectura
82.8,4,95,6,7,5,No,Sí,Rendimiento Promedio,18,5,4,46233,0,87,No,86.0,83.5,8,7,Ing. Civil
84.8,3,80,8,6,5,No,Sí,Rendimiento Promedio,23,2,6,6120,1,81,Sí,82.6,85.6,8,6,Ing. Química
89.0,2,95,8,7,7,No,Sí,Rendimiento Promedio,23,1,3,44569,1,75,Sí,85.6,81.0,1,5,Ing. Sistemas
87.5,3,80,6,6,6,No,No,Rendimiento Promedio,20,2,4,10217,2,88,No,78.3,93.1,1,5,Ing. Mecánica
80.0,3,90,7,7,6,No,No,Rendimiento Promedio,24,3,2,28294,0,85,No,88.1,89.9,7,7,Ing. Gestión Empresarial
84.0,2,80,5,7,8,No,Sí,Rendimiento Promedio,24,4,4,39345,2,82,No,82.5,87.9,6,6,Ing. Mecánica
87.3,2,92,6,7,5,No,Sí,Rendimiento Promedio,19,5,1,15516,1,82,No,81.7,85.9,4,6,Ing. Civil
78.5,1,75,4,7,1,No,No,Bajo Rendimiento,24,2,1,44878,0,81,No,94.2,84.2,2,5,Ing. Gestión Empresarial
78.4,2,83,2,10,2,No,No,Bajo Rendimiento,23,2,2,18755,1,89,No,88.4,81.9,9,6,Arquitectura
85.3,4,94,7,6,5,No,No,Rendimiento Promedio,22,5,5,27157,3,83,No,79.2,80.5,2,6,Ing. Gestión Empresarial
90.0,3,90,8,4,5,No,No,Rendimiento Promedio,19,4,1,48907,3,91,Sí,90.3,90.8,11,7,Ing. Gestión Empresarial
88.0,2,91,7,6,7,No,Sí,Rendimiento Promedio,23,3,3,34098,1,96,Sí,76.2,89.6,4,7,Ing. Bioquímica
85.9,3,93,6,6,7,No,Sí,Rendimiento Promedio,22,3,2,8201,2,88,Sí,80.7,80.2,3,6,Ing. Industrial
73.7,1,79,5,10,2,No,No,Bajo Rendimiento,20,3,5,25775,0,96,Sí,87.0,84.1,2,5,Ing. Civil
82.3,3,93,5,6,6,No,Sí,Rendimiento Promedio,20,5,4,34233,2,88,No,85.0,83.8,7,4,Ing. Gestión Empresarial
85.7,2,86,6,6,8,No,Sí,Rendimiento Promedio,19,2,3,36198,0,83,No,81.8,88.2,5,7,Ing. Electrónica
85.7,3,85,5,7,7,No,Sí,Rendimiento Promedio,19,3,6,19910,0,93,Sí,86.3,90.1,10,6,Arquitectura
97.5,4,96,8,4,9,No,Sí,Alto Rendimiento,22,2,3,13301,0,84,No,82.3,80.8,9,7,Arquitectura
81.8,4,95,7,7,6,Sí,Sí,Rendimiento Promedio,24,3,4,35015,1,97,No,85.9,81.4,4,6,Ing. Gestión Empresarial
92.7,4,98,10,1,10,Sí,No,Alto Rendimiento,18,3,3,45113,1,82,Sí,87.4,82.5,2,4,Ing. Industrial
94.2,4,98,8,3,8,Sí,No,Alto Rendimiento,19,4,3,12561,2,89,Sí,92.1,83.9,12,5,Ing. Industrial
77.5,1,77,2,7,2,No,No,Bajo Rendimiento,23,5,1,32891,2,85,No,87.8,75.3,6,5,Ing. Sistemas
81.6,2,95,6,4,8,No,Sí,Rendimiento Promedio,18,4,2,32220,2,79,Sí,84.2,74.1,1,7,Arquitectura
85.5,4,94,7,7,6,No,No,Rendimiento Promedio,18,2,5,31737,1,80,No,87.1,85.6,2,7,Arquitectura
93.9,3,100,10,3,10,No,Sí,Alto Rendimiento,25,2,2,47646,1,72,No,76.2,86.2,7,5,Arquitectura
84.1,2,92,8,4,5,No,Sí,Rendimiento Promedio,25,5,5,14799,3,84,No,92.7,84.9,11,6,Ing. Mecánica
85.5,2,83,8,7,5,No,Sí,Rendimiento Promedio,24,3,6,15377,0,87,No,86.5,90.8,7,5,Ing. Civil
93.2,3,96,9,4,8,No,Sí,Alto Rendimiento,18,5,3,37152,0,74,Sí,100.0,76.7,5,5,Ing. Mecánica
85.1,4,87,6,6,7,Sí,Sí,Rendimiento Promedio,20,3,2,41128,3,70,Sí,86.5,93.6,6,7,Ing. Industrial
70.2,2,78,2,9,1,No,No,Bajo Rendimiento,25,1,2,48536,2,80,No,86.6,84.4,4,7,Ing. Mecánica
83.8,3,86,5,4,7,No,Sí,Rendimiento Promedio,20,1,3,46842,0,85,Sí,77.3,85.1,2,6,Arquitectura
71.7,2,71,1,8,3,No,No,Bajo Rendimiento,25,5,4,25759,3,80,Sí,81.3,86.7,12,7,Ing. Sistemas
85.7,2,80,5,5,6,No,Sí,Rendimiento Promedio,18,1,1,33848,0,85,No,85.0,80.0,7,6,Ing. Electrónica
81.4,2,92,5,5,8,No,No,Rendimiento Promedio,18,1,4,30321,1,82,Sí,83.1,82.8,11,6,Ing. Mecánica
93.8,3,95,10,1,9,Sí,No,Alto Rendimiento,20,2,2,19577,1,78,No,93.9,92.4,10,6,Ing. Electrónica
75.0,2,75,2,7,3,No,No,Bajo Rendimiento,22,3,3,11685,1,88,No,86.2,87.3,5,5,Arquitectura
95.8,3,95,10,1,8,Sí,No,Alto Rendimiento,24,1,1,39368,2,86,No,84.1,84.6,9,7,Ing. Industrial
80.0,3,85,8,4,5,No,Sí,Rendimiento Promedio,24,4,3,15320,1,83,No,88.1,78.1,7,7,Ing. Gestión Empresarial
83.2,4,89,8,5,5,No,Sí,Rendimiento Promedio,25,2,5,9108,2,75,Sí,83.3,78.4,2,6,Arquitectura
75.6,2,70,5,7,3,No,No,Bajo Rendimiento,23,3,2,5443,0,82,No,87.8,82.7,1,5,Ing. Civil
83.6,3,87,6,6,8,No,No,Rendimiento Promedio,24,2,6,29713,0,80,No,78.8,85.4,3,7,Ing. Gestión Empresarial
95.1,4,95,8,1,10,Sí,No,Alto Rendimiento,21,4,3,26696,0,82,No,92.5,90.1,11,4,Arquitectura
80.0,1,75,4,8,1,No,No,Bajo Rendimiento,25,3,1,20699,0,80,No,87.0,89.4,8,5,Ing. Industrial
83.4,2,90,7,6,8,No,Sí,Rendimiento Promedio,25,5,2,40206,1,83,No,87.4,90.9,6,7,Ing. Sistemas
85.3,2,80,5,7,7,No,No,Rendimiento Promedio,19,5,1,25411,0,83,Sí,82.4,83.7,2,6,Ing. Industrial
85.4,4,80,5,7,8,No,No,Rendimiento Promedio,18,2,7,20897,1,89,Sí,89.8,79.0,7,5,Ing. Civil
70.0,2,77,2,9,1,No,No,Bajo Rendimiento,20,5,4,36980,0,81,No,78.5,81.5,12,7,Ing. Química
84.0,4,87,7,5,8,No,No,Rendimiento Promedio,24,3,3,18868,0,85,No,82.5,85.5,8,7,Ing. Civil
84.7,3,89,7,6,7,No,Sí,Rendimiento Promedio,18,4,4,21871,1,80,No,87.0,87.0,12,7,Ing. Mecánica
86.6,3,87,5,4,5,No,Sí,Rendimiento Promedio,18,4,3,38135,2,81,No,84.6,80.0,12,6,Ing. Mecánica
80.4,2,90,8,5,6,No,Sí,Rendimiento Promedio,25,5,4,16961,1,81,No,80.0,82.9,4,6,Ing. Civil
74.0,1,74,1,8,4,Sí,No,Bajo Rendimiento,25,1,5,6192,2,89,No,84.0,80.4,8,7,Ing. Gestión Empresarial
85.4,3,91,6,5,7,Sí,No,Rendimiento Promedio,18,1,5,25652,3,83,No,82.5,95.2,10,7,Ing. Industrial
85.4,4,92,5,4,5,No,Sí,Rendimiento Promedio,24,1,2,39010,1,84,No,81.7,88.9,4,6,Ing. Civil
83.4,4,86,6,5,6,No,Sí,Rendimiento Promedio,18,5,2,6614,2,82,Sí,92.6,83.7,3,7,Ing. Mecánica
84.0,2,90,7,7,6,No,Sí,Rendimiento Promedio,22,5,4,10331,3,84,No,81.5,83.1,8,6,Ing. Mecánica
